words,ipa
তিতা,t̪it̪a
খা,kʰa
মুঅর,mu͡ɔ̯r
খান,kʰan
অভাইগ্যা,ɔbʱa͡i̯gka
চোরা,cora
বারিৎ,barit̪
কুইরে,ku͡i̯re
ডায়,daʲ
নয়,nɔʲ
রাইৎ,ra͡i̯ʃ
ফোয়ায়,pʰoʷaʲ
কুত্তয়,kut̪t̪oʲ
অরিয়ে,ɔriʲe
দুর্নাম,d̪urnam
গরইলে,gɔrile
জগতে,ɟɔgot̪e
হনে,hone
মায়ে,maʲe
চুলার,cular
দুয়ারর,d̪uʲarɔr
বিলাইয়ে,bila͡i̯ʲe
ফুনে,pʰune
কুনে,kune
অয়াতর,ɔʲat̪ɔr
বাদ্দি,bad̪d̪i
খাইত,kʰa͡i̯t̪o
ফারিবা,pʰariba
রিজিকর,riɟikɔr
অনর,ɔnɔr
মান,man
অনে,ɔne
রাখে,rakʰe
হাড়া,haɽa
কান,kan
চুল,cul
দি,d̪i
ঢাকে,dʱake
অসতী-এ,ɔʃot̪i-e
সতী,ʃot̪i
নিন্দে,nind̪e
জুনি,ɟuni
পোগে,poge
মানিক,manik
অস্তায়,ɔst̪aʲ
বউ,bɔ͡u̯
আনিলে,anile
পাড়ায়,paɽaʲ
বেড়ায়,beɽaʲ
গরু,goru
কিনিলে,kinile
পথে,pɔt̪ʰe
ছেড়ায়,cʰeɽaʲ
অক,ɔk
হতাত,hɔt̪at̪
ঠগবেজার,tʰgobeɟar
ভাতত,bʱat̪t̪o
বিলাই,bila͡i̯
বেজার,beɟar
ভাঙ্গা,bʱaŋga
ঠেঙ্গত,tʰeŋgɔt̪o
মতইন্না,mɔt̪inna
অভাইগ্যারে,ɔbʱa͡i̯ggare
পাইয়ে,pa͡i̯ʲe
ভূতে,bʱut̪e
ঘর,gʱɔr
এরি,eri
বাআরে,ba͡a̯re
ফুতে,pʰut̪e
হুতে,hut̪e
অজাইত্যা,ɔɟa͡i̯t̪t̪a
হাট্টল,hattol
সুজাত,ʃuɟat̪
ফাঁগিলে,pʰãgile
হাউল,ha͡u̯l
মিডা,mida
অস্তার,ɔst̪ar
অবস্তা,ɔbost̪a
অরি,ori
বৌ-এ,bo͡u̯-e
মোচার,mocar
ধানেঅ,d̪ʱane͡o̯
মাইজ্জে,ma͡i̯ɟɟe
গুঁতা,gũt̪a
বৌ,bo͡u̯
বেডিএ,bedi͡e̯
ছুতা,cʰut̪a
গেইয়ে,ge͡i̯ʲe
পাড়া,paɽa
বেড়াইত,beɽa͡i̯t̪o
পাড়াত,paɽat̪
বই,bo͡i̯
থক,t̪ʰɔk
ননন,nɔnon
চরাইত,cɔra͡i̯t̪o
বাঘে,bagʱe
ধরি,d̪ʱori
হক,hɔk
অঅডা,ɔ͡ɔ̯da
জননার,ɟɔnonar
পদ,pɔd̪
জেঅর,ɟe͡ɔ̯r
গুইট্টা,gu͡i̯tta
মরিচর,moricɔr
দর,d̪ɔr
ছালনর,cʰalonɔr
বঅর,bɔ͡o̯r
পাতা,pat̪a
অউরুত,ɔ͡u̯rut̪
আইলাম,a͡i̯lam
কেঁইলৎ,kẽilɔt̪
ঘরা,gʱɔra
বঅরৎ,bɔ͡o̯rɔt̪
গেইলাম,ge͡i̯lam
টেইৎ,te͡i̯t̪
বারা,bara
অরান,ɔran
পেরেশান,pereʃan
মার,mar
কাছে,kacʰe
যাবি,ɟabi
সুখ,ʃukʰ
শান্তি,ʃant̪i
বেঅশতত,be͡ɔ̯ʃɔt̪ɔt̪
এন্ডে,ænde
গেইলে,ge͡i̯le
পাবি,pabi
অভীনে,obʱine
খাইলে,kʰa͡i̯le
আইও,a͡i̯o
খাম,kʰam
পেডঅর,pedɔr
বিষে,biʃe
ঘুম,gʱum
যাম,ɟam
অউরো,ɔ͡u̯ro
বাড়ীত,baɽit̪o
জামাই,ɟama͡i̯
আইস্যে,a͡i̯ʃʃe
রাতা,rat̪a
কুরার,kurar
আশে,aʃe
গুড়া,guɽa
কচুর,kocur
ছাড়া,cʰaɽa
দেখি,d̪ekʰi
ফুডুর,pʰudur
হাসে,haʃe
অলৈদ,ɔlo͡i̯d̪
ফোঁদৎ,pʰõd̪ɔt̪
রাঁধঅনী,rãd̪ʱoni
হঅলান,hɔ͡ɔ̯lan
ইয়েলর,iʲelr
এক,æk
রা,ra
অরর,ɔror
খুঁডা,kʰũda
অইননা,ɔ͡i̯nna
গুন,gun
ফরফরায়,pʰɔrpʰɔraʲ
নইননা,ninna
ঘরঅত,gʱɔrɔt̪o
লরকরায়,lɔrkraʲ
ভূঁইয়া-ভুঁইয়া,bʱũiʲa-bʱũiʲa
অইয়ি,ɔ͡i̯ʲi
তেলি,t̪eli
পাল,palo
নাইতের,na͡i̯t̪er
পোয়া,poʷa
জমিদার,ɟomid̪ar
ফেলাইবো,pʰela͡i̯bo
বাল,bal
আগে,age
নিজর,niɟɔr
বুঅত্তল,bumɔt̪t̪ol
ফুই,pʰu͡i̯
চ,c
গই,go͡i̯
আদা,ad̪a
ফচিলেও,pʰocile͡o̯
ঝাঁঝ,ɟʱãɟʱ
থাহে,t̪ʰahe
আদিলে,ad̪ile
বউয়ে,bo͡u̯ʲe
হায়,haʲ
চুরি,curi
চইল,co͡i̯l
চাবায়,cabaʲ
আকত,akot̪o
মাছতঅ,macʰt̪o
শাকত,ʃakɔt̪
নিজরগান,niɟɔrgan
খোদার,kʰod̪ar
দোহাই,d̪oha͡i̯
পররগান,pɔrorgan
আন,an
পেট,pet
ভরি,bʱori
খাই,kʰa͡i̯
আরগান,argan
আলুর,alur
লতা,lɔt̪a
টেএয়ারা,te͡e̯ʲara
ফার,pʰar
অইয়ে,ɔ͡i̯ʲe
আল্লার,allar
মাইর,ma͡i̯r
দুনিয়ার,d̪uniʲar
বাইর,ba͡i̯r
আইযহাইললা,a͡i̯͡æ̯ha͡i̯lla
যবানার,ɟɔbanar
ফোয়া,pʰoʷa
মেডিত,medit̪o
পইললে,po͡i̯lle
লোয়া,loʷa
আঁইঅ,ãi͡o̯
তুইঅ,t̪u͡i̯͡ɔ̯
ভাগত,bʱagot̪o
টান,tan
ফইরলে,pʰo͡i̯rle
মন,mon
আফরে,apʰre
নহদে,nɔhod̪e
লাম্বা,lamba
ব্যাঙঅরে,bæŋɔre
বাইট্টা,ba͡i̯tta
আঁচলৎ,ãclɔt̪
সোনা,ʃona
বদনে,bɔd̪one
চিনা,cina
আঁধাইয়ের,ãd̪ʱa͡i̯ʲer
আতর,at̪or
লডি,lɔdi
আইগগে,a͡i̯gɔge
রাম্মুইয়া,rammu͡i̯ʲa
ফাইদ্দে,pʰa͡i̯d̪d̪e
আনা,ana
দেইলে,d̪e͡i̯le
হানা,hana
অঁ,ɔ̃
ল্যাংগা,læŋga
আলও,alo
চই,co͡i̯
দুধও,d̪ud̪ʱo
হাই,ha͡i̯
ইবারে,ibare
হয়,hɔʲ
গাই,ga͡i̯
বিয়াগরি,biʲagori
ফুয়ারে,pʰuʲare
থাই,t̪ʰa͡i̯
ইতারে,it̪are
আইডে,a͡i̯de
ফাতৎ,pʰat̪ot̪
ঠাডার,tʰadar
আইল,a͡i̯l
ভাঁংগি,bʱãŋgi
ঢুকিল,dʱukilo
পানি,pani
গরিব,gorib
ওঝা,oɟʱa
গেয়ানী,geʲani
আঁআর,ãar
বুগৎ,bugɔt̪
ঘা,gʱa
আঁআরে,ãare
যে,ɟe
রৌন,ro͡u̯no
আই,a͡i̯
গরির,gorir
হাইদ্যা,ha͡i̯d̪d̪a
কানার,kanar
মনঅ,mono͡o̯
আঁধারে,ãd̪ʱare
বাঁধি,bãd̪ʱi
মারন,maron
কলা,kɔla
দেখাইলে,d̪ækʰa͡i̯le
পাপঅ,papæ
পুণ্যঅ,punno͡ɔ̯
আগর,agor
বেডার,bedar
টিপটাপ,tiptap
পানির,panir
ছিটকা,cʰitka
পিছে,picʰe
লাডির,ladir
গুতা,gut̪a
আগ,ago
টানে,tane
গোদায়,god̪aʲ
সাত,ʃat̪
পুরুষ,puruʃ
কাট্টল,kattol
খায়,kʰaʲ
পরে,pɔre
জামাইয়ে,ɟama͡i̯ʲe
ভোতাঅ,bʱot̪a͡o̯
তোয়াই,t̪oʷa͡i̯
পায়,paʲ
থেশ,t̪ʰeʃ
বা,ba
দরবেশ,d̪ɔrbeʃ
আইজ্জে,a͡i̯ɟɟe
চৈলর,co͡i̯lor
ফেনফেনি,pʰenpʰeni
বেশ,beʃ
কেঁডি,kẽdi
কুঁত্তর,kũt̪t̪or
ঘেডঘেডি,gʱedgʱedi
আদরর,ad̪orɔr
কুডুম,kudum
বঅলী,bonoli
ছালন,cʰalon
পাতৎ,pat̪ot̪
ঢালন,dʱalon
বাখলঅ,bakʰlo
আদরে,ad̪ore
গা,ga
দরদ,d̪ɔrod̪
গরন,gɔron
চুরনির,curɔnir
মনত,monot̪o
গুতগুতি,gut̪gut̪i
আম,am
তলে,t̪ɔle
পারা,para
মল্লার,mɔllar
ঢেঁইৎ,dʱẽit̪
আরাহাডা,arahada
আর,ar
তোতাহাডা,t̪ot̪ahada
আঁরার,ãrar
লয়,lɔʲ
যেন,ɟeno
তেন,t̪en
পিরল্লয়,pirollɔʲ
মস্কারি,mɔʃkari
আলাই,ala͡i̯
বালাই,bala͡i̯
মাথাৎ,mat̪ʰat̪
পরন,pɔron
আল্লাই,alla͡i̯
দিতঅ,d̪it̪ɔ͡ɔ̯
চাইলে,ca͡i̯le
ছপ্পর,cʰɔppɔr
ফাডি,pʰadi
আইসসি,a͡i̯ssi
কাজে,kaɟe
হইদ্দি,ho͡i̯d̪d̪i
লাজে,laɟe
আঁই,ãi
যদি,ɟod̪i
কই,ko͡i̯
বাঝে,baɟʱe
কইল,ko͡i̯l
তেলইন,t̪elin
গোস্ত,gost̪o
গেল,gælo
গৈ,go͡i̯
সুরগাকেএনে,ʃurgake͡e̯ne
রৈল,ro͡i̯l
হই,ho͡i̯
সুরগা,ʃurga
কেএনে,ke͡e̯ne
আইট্টে,a͡i̯tte
নলা,nɔla
গাইতে,ga͡i̯t̪e
গলা,gɔla
আফোয়াইদ্যা,apʰoʷa͡i̯d̪d̪a
বাই,ba͡i̯
খাইভ,kʰa͡i̯bʱ
গ,go
বয়সকালে,bɔʲoʃkale
চাইও,ca͡i̯͡o̯
আফ,apʰ
বেয়াগুনে,beʲagune
লাডি,ladi
উজাই,uɟa͡i̯
দইয়া,d̪iʲa
কেউ,ke͡u̯
বিবি,bibi
ছুরতী,cʰurt̪i
মাঝর,maɟʱɔr
সুয়া,ʃuʲa
শেষের,ʃeʃer
লাং,laŋ
খাড়ানী,kʰaɽani
ধারে,d̪ʱare
ভাঙ্গে,bʱaŋge
গুয়া,guʲa
আগি,agi
কুঁচে,kũce
মুতি,mut̪i
একগলা,ækgɔla
পানিত,panit̪o
নামে,name
ইচে,ice
আঁচঅলত,ãcɔlɔt̪o
আনি,ani
পাতিলাত,pat̪ilat̪
ঢালে,dʱale
আবার,abar
ফুডানিঅ,pʰudani͡o̯
মারায়,maraʲ
আরাই,ara͡i̯
টিয়া,tiʲa
গিডুত্তন,gidut̪t̪on
যক,ɟɔk
তঅ-আঁর,t̪ɔ͡o̯-ãr
সুন্দর,ʃund̪ɔr
চাম,cam
বেডায়,bedaʲ
আঁতীর,ãt̪ir
আঁতী,ãt̪i
ন-দেহে,nɔ-d̪ehe
আত,at̪o
ঠেং,tʰeŋ
থাইকতে,t̪ʰa͡i̯kɔt̪e
মুখে,mukʰe
কীউর,ki͡u̯r
আরত,arɔt̪o
আইলে,a͡i̯le
কী,ki
আনিবি,anibi
তোরত,t̪orot̪o
হাবাবি,hababi
আলে,ale
ন-আঁডইন্যা,nɔ-ãdinna
বলদ,bɔld̪
কুইজ্জা,ku͡i̯ɟɟa
খাইবার,kʰa͡i̯bar
যম,ɟɔm
বেআরির,be͡a̯rir
জাঁহাজর,ɟãhaɟɔr
খবর,kʰɔbor
লঅন,lɔ͡o̯n
দেঅন,d̪æ͡o̯n
অফুরানি,ɔpʰurani
বান্দার,band̪ar
খোয়ার,kʰoʲar
আক্কলে,akkole
বিয়াজুন,biʲaɟun
বন্দি,bond̪i
জালে,ɟale
বন্দী,bond̪i
মাছ,macʰ
বেডির,bedir
হাছে,hacʰe
বেডা,beda
ছালে,cʰale
গাছ,gacʰ
আটকুইজ্জার,atku͡i̯ɟɟar
আজুয়,aɟuʲ
নহ,nɔh
হালুয়,haluʲ
দশমী,d̪ɔʃmi
ফরউয়া,pʰɔruʷa
তসসুয়া,t̪ɔʃoʃuʃa
শ্রীপঞ্চমী,sripɔncomi
আঁতি,ãt̪i
মইরলেও,mo͡i̯rle͡o̯
ঘোড়ার,gʱoɽar
তুন,t̪un
উঁচু,ũcu
থায়,t̪ʰaʲ
আজাইম্মারে,aɟa͡i̯mma͡a̯͡e̯
বাপ,bap
ডাইলে,da͡i̯le
যেদ্দুর,ɟed̪d̪ur
হাডে,hade
আলা,ala
ডাইলেও,da͡i̯le͡o̯
এদ্দুর,ed̪d̪ur
আতির,at̪ir
ফাডার,pʰadar
অষুধে,oʃud̪ʱe
অইব,ɔ͡i̯bo
আফততুন,apʰt̪ot̪un
আফর,apʰor
ছা,cʰa
আলাইন্যা,ala͡i̯nna
বেলাইন্যা,bela͡i̯nna
ছেরঅন,cʰerɔn
আঁতরে,ãt̪ɔre
হানরে,hanore
হচু,hocu
চৌগুরে,co͡u̯gure
তেল,t̪el
এ,e
তিন্নানে,t̪innane
ন-অইলে,nɔ-o͡i̯le
বৈদ্য,bo͡i̯d̪d̪o
বাড়ীৎ,baɽit̪
আরার,arar
অতীনে,ot̪ine
লারেচারে,larecare
ভৈন,bʱo͡i̯n
পরানে,pɔrane
মারে,mare
আঁধা,ãd̪ʱa
ভেউর,bʱe͡u̯r
তিনজন,t̪inɟɔn
শতানর,ʃɔt̪anor
লেউর,le͡u̯r
আগইন্নার,aginnar
শরম,ʃɔrom
দেহইন্নার,d̪ehinnar
আইয়ক,a͡i̯ʲok
ডালা,dala
আঁইয়ক,ãiʲok
পুতর,put̪ɔr
মা,ma
পাইক,pa͡i̯k
পেয়াদা,peʲad̪a
কিছু,kicʰu
হথায়,hɔt̪ʰaʲ
ভার,bʱar
ভেজাইল্ল্যা,bʱeɟa͡i̯llæ
কথায়,kɔt̪ʰaʲ
কেলার,kelar
বাকলঅ,baklo͡o̯
দেহাইলে,d̪eha͡i̯le
আপনততুন,apnt̪ot̪un
পর,pɔr
শহরততুন,ʃɔhorot̪ot̪un
জঅল,ɟɔ͡ɔ̯l
আসল,aʃol
ছালাম,cʰalam
ন-পায়,nɔ-paʲ
চাচি,caci
পা,pa
আউগায়,a͡u̯gaʲ
আঁড়ে,ãɽe
ঠাঁআরে,tʰãare
ভাঙ্গি,bʱaŋgi
কইলে,ko͡i̯le
বলদেঅ,bɔld̪e͡o̯
আক্কল,akkol
অলা,ɔla
কুইররে,ku͡i̯rɔre
ছেই,cʰe͡i̯
হন,hɔn
ন-পরে,no-pɔre
আল্লা,alla
বাঁচক,bãcok
তোঁয়ারে,t̪õʷare
অয়াত,ɔʲat̪
গান,gan
দর্শক,d̪ɔrʃok
আঁরে,ãre
আচ্ছা,accʰa
হোঁজা,hõɟa
কুডুমর,kudumɔr
নান,nan
লাগে,lage
হাইল্যে,ha͡i̯lle
আতে,at̪e
মুইচ্যের,mu͡i̯ccer
কুঁরি,kũri
চৌগ,co͡u̯go
ঠোঁরাই,tʰõra͡i̯
আলগা,alga
চুলুর,culur
ঝুঁড়া,ɟʱũɽa
ভঅর,bʱɔ͡ɔ̯r
আধার,ad̪ʱar
ভাগ্য,bʱaggo
খোদায়,kʰod̪aʲ
মিলায়,milaʲ
ন-চয়,nɔ-cɔʲ
হাল,hal
দুকখ,d̪ukkʰo
ন-যায়,nɔ-ɟaʲ
চিরকাল,cirkal
আজাইরগা,aɟa͡i̯rga
পাইলে,pa͡i̯le
চেঁডতঅ,cẽdt̪ɔ
হামি,hami
দিতো,d̪it̪o
আঁর,ãr
চেডর,cedor
চ'ইয়ারবাল,cɔ'iʲarbal
আঁধার,ãd̪ʱar
হানাইয়াঅ,hana͡i̯ʲaʃ
পারে,pare
জুরিৎ,ɟurit
কাছি,kacʰi
ন-পারে,nɔ-pare
অউনতুন,ɔ͡u̯nt̪un
আইলদা,a͡i̯ld̪a
যিইককে,ɟi͡i̯kke
পিছনদির,picʰond̪ir
হালঅ,halo
ইককে,ikke
আজ্জের,aɟɟer
চৈলঅ,co͡i̯lo͡o̯
ছ'অলঅ,cʰɔ'ɔlo͡o̯
গাইন,ga͡i̯n
ন-অইল,nɔ-o͡i̯l
গাঁরাৎ,gãrat̪
পইরলে,po͡i̯rle
চামচিকাঅ,camocikak
থঅরায়,t̪ʰo͡ɔ̯raʲ
আইটটা,a͡i̯tta
নেয়ামত,neʲamɔt̪
হাইগদে,ha͡i̯gd̪e
সমত,ʃɔmɔt̪
কেয়ামত,keʲamɔt̪
ঘোরা,gʱora
গিয়ি,giʲi
তল,t̪ɔl
ভেরায়,bʱeraʲ
হয়দেহথ,hoʲd̪ehot̪ʰo
জল,ɟɔl
কয়দে,kɔʲd̪e
হথ,hɔt̪ʰ
আশ্বিন,aʃʃin
রাঁধি,rãd̪ʱi
কাতিত,kat̪it̪o
বর,bɔr
মাগে,mage
এই,e͡i̯
ন-মারি,nɔ-mari
ভাতে,bʱat̪e
মারঅন,maron
আল,al
ন-উইটতে,nɔ-u͡i̯tt̪e
বাক,bak
আতঅর,at̪ɔr
ফেরঅদি,pʰerod̪i
ফানি,pʰani
ন-ফড়ন,nɔ-pʰɽɔn
এরঅদিফানি,erod̪ipʰani
আডর,adr
লাথি,lat̪ʰi
ঘাডর,gʱador
কিল,kil
কোয়ালে,koʷale
জিতিল,ɟit̪il
কিনন্যায়অ,kinɔnɟaʲoʃ
মুলায়,mulaʲ
কিনন্যাঅ,kinɔnna͡o̯
বছরর,bɔcʰorɔr
এবাদত,ebad̪ɔt̪o
দিনে,d̪ine
শেষ,ʃeʃ
আত্তান,at̪t̪an
পাঁচ্চান,pãccan
ভাবি,bʱabi
চঅন,cɔ͡o̯n
আইল্যারলাই,a͡i̯llarla͡i̯
জাইল্যারলাই,ɟa͡i̯llarla͡i̯
জাল,ɟal
বেরাইজ্যার,bera͡i̯ɟɟar
গাল,gal
বছর,bɔcʰor
রামায়ণ,ramaʲon
ফরি,pʰori
হইদে,ho͡i̯d̪e
সীতা,ʃit̪a
হার,har
আপঅ,apo
লাডিঅ,ladi͡ɔ̯
ভাঙ্গঅন,bʱaŋgo͡o̯n
লাখ,lakʰ
দাত,d̪at̪
মরে,more
জিকা,ɟika
ফরর,pʰɔror
ইকা,ika
যোগাইত,ɟoga͡i̯t̪o
আদধানঅ,ad̪od̪ʱano
চেরাগ,cerag
মছইদত,mɔcʰo͡i̯d̪ɔt̪
আঁ,ã
ঠাআরা,tʰa͡a̯ra
বুঝন,buɟʱɔn
ফরিবু,pʰoribu
আলা-বোলা,ala-bola
জাইললে,ɟa͡i̯lle
দোরা,d̪ora
আরাদিন,arad̪in
রোজা,roɟa
থাআই,t̪ʰa͡a̯i
ডুম,dum
মারি,mari
আকাশর,akaʃɔr
তারা,t̪ara
জবিনঅর,ɟobinɔr
নারা,nara
বাহল,bahol
গনিত,gonit̪o
জানে,ɟane
হঅত্তর,hɔ͡o̯t̪t̪or
আহল,ahol
ইজ্জতর,iɟɟɔt̪ɔr
কুউরি,ku͡u̯ri
ছ,cʰɔ
কুরি,kuri
ইতার,it̪ar
উইতারে,u͡i̯t̪are
ধরা,d̪ʱɔra
পৈল্পে,po͡i̯lpe
ইবা,iba
উইবা,u͡i̯ba
পাঁচ,pãc
নৈদ্য,no͡i̯d̪d̪o
ছারি,cʰari
ইতি,it̪i
ভিডি,bʱidi
চৈধরীর,co͡i̯d̪ʱorir
পুত,put̪
ইছাপুইজ্যা,icʰapu͡i̯ɟɟa
আচা,aca
ফুলতানপুইজ্যা,pʰult̪anpu͡i̯ɟɟa
ছোঁচ,cʰõc
কদলপুইজ্জা,kɔd̪olpu͡i̯ɟɟa
মানুষ,manuʃ
উঅর,u͡ɔ̯r
ডঅর,do͡ɔ̯r
গোঁছ,gõcʰ
উত্তর,ut̪t̪or
বাট্টা,batta
বৈঅন,bo͡i̯͡ɔ̯n
সামনে,ʃamne
কইছ,ko͡i̯cʰo
পেডত,pedt̪o
আতুরি,at̪uri
ইয়ালর,iʲalɔr
কুরা,kura
বাগা,baga
দওন,d̪ɔ͡o̯n
ইয়ালরে,iʲalre
ভাংয়া,bʱaŋʲa
বেড়া,beɽa
ন-দেখাইছ,nɔ-d̪ekʰa͡i̯cʰo
ইছে,icʰe
কুড়িলে,kuɽile
মিছে,micʰe
বাইলে,ba͡i̯le
দিলি,d̪ili
ফাইলে,pʰa͡i̯le
ধাইলে,d̪ʱa͡i̯le
ফোন,pʰon
মারাইলে,mara͡i̯le
ধরতে,d̪ʱort̪e
পারলে,parle
ভালো,bʱalo
পালিয়ে,paliʲe
গেলে,gele
সব,ʃɔb
ভেস্তে,bʱest̪e
উরিবদে,uribd̪e
পাখি,pakʰi
ইবে,ibe
বাতাসঅত,bat̪aʃɔt̪o
উঝার,uɟʱar
ভা,bʱa
বৈদ্যর,bo͡i̯d̪d̪or
বউর,bɔ͡u̯r
নিত্যি,nit̪t̪i
জ্বর,ɟɔr
উঅরতুন,u͡ɔ̯rt̪un
পইযযে,po͡i̯ɟɟe
বুরি,buri
উয়া,uʲa
পইযযেবুরি,po͡i̯ɟɟeburi
খাড়া,kʰaɽa
উঅট্টাইল্ল্যার,u͡ɔ̯tta͡i̯llær
হৈলে,ho͡i̯le
দিষ্টি,d̪iʃti
ঐট্টাইল্ল্যার,o͡i̯tta͡i̯llær
উছুলত,ucʰulɔt̪o
উঅরদি,u͡ɔ̯rod̪i
ফিটফাট,pʰitpʰat
ভিতদি,bʱit̪od̪i
সদর,ʃɔd̪ɔr
ঘাট,gʱat
উঁজি,ũɟi
হাঁংগা,hãŋga
বইলে,bo͡i̯le
মোহরানা,mohorana
মাফ,mapʰ
যাচিয়েরে,ɟaciʲere
উইয়র,u͡i̯ʲr
পোঁদে,põd̪e
ফইর,pʰo͡i̯r
গজাইলি,gɔɟa͡i̯li
আচ্চান,accan
ছুঁইত,cʰũit̪o
উরতথাই,urt̪ɔt̪ʰa͡i̯
তিন্নান,t̪innan
লাগঅন,lagɔn
উঅরে,u͡ɔ̯re
বাবুয়ানা,babuʲana
ভিতদদি,bʱit̪d̪d̪i
খেরর,kʰerɔr
বেনা,bena
উইদ্যা,u͡i̯d̪d̪a
মাথা,mat̪ʰa
চুঁড়া,cũɽa
তারারে,t̪arare
যাত্রা,ɟat̪ra
উড়ি,uɽi
জুরি,ɟuri
উইত,u͡i̯t̪o
অই,ɔ͡i̯
মরি,mori
অতিনে,ot̪ine
হদ্দে,hod̪d̪e
শালুক,ʃaluk
খার,kʰar
উসতাদর,ust̪ad̪ɔr
পোঁয়াইতা,põʷa͡i̯t̪a
রাইতা,ra͡i̯t̪a
উতৈর্গা,ut̪o͡i̯rga
ভূতৈর্গা,bʱut̪o͡i̯rga
বুদ্ধি,bud̪d̪ʱi
দইনর,d̪inor
সাদা,ʃad̪a
পুদির,pud̪ir
চান,can
সয়দাগর,ʃɔʲd̪agor
পছিমের,pocʰimer
গাধা,gad̪ʱa
উআইস্যার,u͡a̯iʃʃar
লাই,la͡i̯
ধান,d̪ʱan
ফুআৎ,pʰu͡a̯t̪
খাইয়াল্লাই,kʰa͡i̯ʲalla͡i̯
পাআৎ,pa͡a̯t̪
গৈললে,go͡i̯lle
দুই,d̪u͡i̯
চিত,cit̪o
বিছা,bicʰa
উড়াৎ,uɽat̪
